completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
2020.0,Sentul,Service Residence,3.0,1.0,2.0,821,Fully Furnished,yes
,Maju,Service Residence,3.0,2.0,2.0,827,Partially Furnished,yes
2021.0,Damansara,Service Residence,1.0,1.0,1.0,499,Fully Furnished,yes
2017.0,South,Service Residence,1.0,1.0,1.0,648,Fully Furnished,
2012.0,Ampang,Condominium,4.0,1.0,2.0,1300,Fully Furnished,yes
2010.0,Cheras,Condominium,3.0,1.0,2.0,760,Fully Furnished,no
,Kepong,Service Residence,3.0,1.0,2.0,808,Fully Furnished,
2019.0,Gombak,Condominium,3.0,2.0,2.0,1059,Fully Furnished,yes
2018.0,Melawati,Studio,1.0,,1.0,633,Not Furnished,no
,Cheras,Condominium,3.0,1.0,2.0,1025,Fully Furnished,yes
2020.0,Keramat,Condominium,4.0,,2.0,1065,Partially Furnished,no
2019.0,Kepong,Condominium,3.0,2.0,2.0,1100,Fully Furnished,no
,KLCC,Condominium,3.0,1.0,2.0,1500,Fully Furnished,yes
,Cheras,Flat,3.0,,1.0,650,Not Furnished,yes
,Kepong,Apartment,3.0,,2.0,720,Partially Furnished,yes
,Kepong,Apartment,3.0,,2.0,935,Partially Furnished,yes
2020.0,Maju,Condominium,3.0,2.0,2.0,1000,Partially Furnished,yes
,Road,Condominium,3.0,1.0,2.0,1257,Fully Furnished,
2022.0,Desa,Condominium,3.0,2.0,2.0,1003,Partially Furnished,yes
2021.0,Sentul,Service Residence,3.0,,2.0,850,Fully Furnished,yes
,Cheras,Apartment,3.0,2.0,2.0,700,Fully Furnished,yes
2019.0,Pantai,Condominium,3.0,,3.0,1360,Fully Furnished,
2009.0,Dutamas,Condominium,3.0,1.0,2.0,1000,Fully Furnished,no
2022.0,Desa,Condominium,3.0,2.0,2.0,1003,Fully Furnished,yes
2016.0,City,Service Residence,1.0,,2.0,910,Fully Furnished,no
,Kepong,Apartment,3.0,1.0,2.0,1000,Partially Furnished,yes
2022.0,Desa,Condominium,3.0,2.0,2.0,1100,Fully Furnished,yes
2015.0,Hilir,Service Residence,2.0,,2.0,890,Fully Furnished,no
,Setapak,Condominium,3.0,1.0,2.0,800,Fully Furnished,no
2021.0,Sentul,Service Residence,3.0,1.0,2.0,850,Fully Furnished,
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Partially Furnished,yes
,OUG,Service Residence,3.0,1.0,2.0,950,Partially Furnished,yes
2002.0,Sentul,Condominium,3.0,1.0,2.0,1220,Partially Furnished,yes
,OUG,Service Residence,3.0,2.0,2.0,950,Fully Furnished,yes
,Setapak,Condominium,3.0,1.0,2.0,829,Fully Furnished,yes
1998.0,Cheras,Condominium,3.0,1.0,2.0,960,Fully Furnished,yes
2017.0,Sentul,Service Residence,3.0,1.0,2.0,1009,Not Furnished,no
,Jalil,Condominium,2.0,1.0,1.0,791,Fully Furnished,yes
,Jalil,Condominium,2.0,1.0,1.0,593,Not Furnished,no
,Setapak,Apartment,3.0,1.0,2.0,885,Fully Furnished,yes
2023.0,Cheras,Condominium,3.0,2.0,2.0,850,Fully Furnished,yes
